,publisher,dagger,author,isbn,price,date,contributor,title,weeks_on_list,ratings_count,reviews_count,text_reviews_count,work_ratings_count,work_reviews_count,work_text_reviews_count,average_rating
242,Knopf,0,Haruki Murakami,0385352107,0,2014-09-07,by Haruki Murakami,COLORLESS TSUKURU TAZAKI AND HIS YEARS OF PILGRIMAGE,2,80336,141209,6722,130065,225873,11183,3.85
243,Morrow/HarperCollins,0,Hazel Gaynor,0062316877,0,2014-06-15,by Hazel Gaynor,THE GIRL WHO CAME HOME,2,48,97,27,18207,47641,2133,3.87
244,Grand Central,0,Douglas Preston and Lincoln Child,1455525855,0,2013-12-08,by Douglas Preston and Lincoln Child,WHITE FIRE,2,64,130,20,23092,39567,2111,4.07
245,Harlequin Mira,0,Ron Carr,1460317971,0,2013-09-22,by Robyn Carr,THE HERO,2,65,108,7,9829,17654,625,4.07
246,Harlequin Mira,0,Ron Carr,1460315065,0,2013-07-21,by Robyn Carr,THE NEWCOMER,2,95,199,18,11807,20231,696,4.09
247,Scribner,0,Kathy Reichs,1439112827,0,2013-05-12,by Kathy Reichs,BONES ARE FOREVER,2,47,78,7,19015,36398,1396,3.89
248,Simon & Schuster,0,Jamie McGuire,1476712999,0,2013-04-28,by Jamie McGuire,WALKING DISASTER,2,329,418,103,165745,284837,11870,4.2
249,Random House Publishing,0,Jonathan Kellerman,0345538811,0,2013-03-10,by Jonathan Kellerman,GUILT,2,38,67,12,12701,21653,945,3.89
250,Random House Publishing,0,Danielle Steel,034553865X,0,2013-02-24,by Danielle Steel,UNTIL THE END OF TIME,2,6,47,0,5890,12516,609,3.85
251,Grand Central Publishing,0,Jill Shalvis,0446576468,0,2012-10-07,by Jill Shalvis,SIMPLY IRRESISTIBLE,2,210,307,50,32062,65815,1987,3.92
252,Scribner,0,Stephen King,1451658907,0,2012-05-20,by Stephen King,THE WIND THROUGH THE KEYHOLE,2,4451,20120,525,65589,136060,5188,4.15
253,Random House Publishing,0,Sophie Kinsella,0679644687,0,2012-03-11,by Sophie Kinsella,I'VE GOT YOUR NUMBER,2,1,1,0,192479,327894,12804,3.94
254,St. MartinÃ¢ÂÂs Press,0,Kristin Hannah,0312364431,0,2012-02-19,by Kristin Hannah,NIGHT ROAD,2,1350,6411,186,92637,185231,8562,4.18
255,Simon & Schuster,0,Janet Evanovich,0684867311,0,2012-02-19,by Janet Evanovich,ONE FOR THE MONEY,2,6,35,0,479495,650604,14765,4.04
256,Grand Central,0,Douglas Preston and Lincoln Child,0446554987,0,2011-08-28,by Douglas Preston and Lincoln Child,COLD VENGEANCE,2,787,1386,108,23199,35815,1435,4.07
257,Penguin Group,0,Jim Butcher,045146379X,0,2011-08-21,by Jim Butcher,GHOST STORY,2,72066,103548,3676,82660,118980,4267,4.25
258,Random House,0,Tess Gerritsen,0345526600,0,2011-07-31,by Tess Gerritsen,THE SILENT GIRL,2,165,269,29,35068,57666,1940,4.12
259,"Little, Brown",0,Elin Hilderbrand,0316175579,0,2011-07-17,by Elin Hilderbrand,SILVER GIRL,2,116,218,18,36670,66576,2305,3.9
260,Random House,0,Danielle Steel,0385343140,0,2011-05-01,by Danielle Steel,44 CHARLES STREET,2,6689,12388,658,9203,16939,814,3.7
261,Harlequin,0,Linda Lael Miller,0373775555,0,2011-03-20,by Linda Lael Miller,A CREED IN STONE CREEK,2,3325,5808,236,3805,6812,263,4.05
262,Harlequin,0,Ron Carr,0778329313,0,2011-02-20,by Robyn Carr,WILD MAN CREEK,2,10252,17181,426,12141,21450,531,4.31
263,Scribner,0,Stephen King,1501180983,0,2018-06-09,by Stephen King,THE OUTSIDER,1,122817,342910,11184,181798,496464,17544,3.98
264,Gallery,0,Mary Alice Monroe,1501193317,0,2018-06-09,by Mary Alice Monroe,BEACH HOUSE REUNION,1,17,32,8,5929,21497,746,4.12
265,Knopf,0,Michael Ondaatje,0525521194,0,2018-05-27,by Michael Ondaatje,WARLIGHT,1,3399,33845,528,35322,114306,4683,3.61
